variable,variable_name,units,model,experiment,scenario,period,season,ecoregion,ecoregion_name,mean,delta,pct_change
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.3.7,South Central Plains,19.218060932068624,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.3.8,East Central Texas Plains,20.35747731107553,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.4.1,Ridge and Valley,12.92017294848301,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.4.2,Central Appalachians,12.176287534656684,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.4.3,Western Allegheny Plateau,12.03930878979016,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.4.4,Blue Ridge,12.950855062688332,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.4.5,Ozark Highlands,14.72877826326844,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.4.6,Boston Mountains,15.862140588911542,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.4.7,Arkansas Valley,17.12552324835789,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.4.8,Ouachita Mountains,17.09633098790078,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.4.9,Southwestern Appalachians,15.598001261654357,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.5.1,Middle Atlantic Coastal Plain,17.076180659555707,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.5.2,Mississippi Alluvial Plain,18.400977113420744,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.5.3,Southern Coastal Plain,21.94727037444118,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.5.4,Atlantic Coastal Pine Barrens,12.868178386219167,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,9.2.1,Aspen Parkland/Northern Glaciated Plains,4.45067921488461,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,9.2.2,Lake Manitoba and Lake Agassiz Plain,4.505357025405608,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,9.2.3,Western Corn Belt Plains,9.773515916245293,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,9.2.4,Central Irregular Plains,13.298734564721329,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,9.3.1,Northwestern Glaciated Plains,5.4413339380099774,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,9.3.3,Northwestern Great Plains,8.01815017497724,0.0,
