Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_Pr,Plot_index_Annual_Pr,Ave25yearSpan_Winter_pr,Plot_index_Winter_pr,Ave25yearSpan_Spring_pr,Plot_index_Spring_pr,Ave25yearSpan_Summer_pr,Plot_index_Summer_pr,Ave25yearSpan_Fall_pr,Plot_index_Fall_pr
near-term Future,21,0.0.0,ssp370,3.02E-05,13.50929886,2.30E-05,15.68848385,2.83E-05,13.19939152,3.70E-05,13.86599905,3.22E-05,12.48663391
mid-term Future,21,0.0.0,ssp370,3.05E-05,14.6740824,2.35E-05,18.14835572,3.09E-05,23.41989178,3.63E-05,11.59371091,3.12E-05,9.033852965
long-term Future,21,0.0.0,ssp370,3.19E-05,20.16291767,2.51E-05,26.27534175,3.14E-05,25.60539792,3.68E-05,13.00762038,3.45E-05,20.29433553
near-term Future,21,1.1.1,ssp370,8.19E-06,24.05088544,7.05E-06,57.44727364,4.71E-06,12.73629392,1.03E-05,-0.528224337,1.06E-05,43.41094241
mid-term Future,21,1.1.1,ssp370,9.91E-06,50.05467534,8.44E-06,88.29756393,5.37E-06,28.52649545,1.23E-05,18.57853615,1.35E-05,82.94846224
long-term Future,21,1.1.1,ssp370,1.25E-05,90.03385901,1.31E-05,192.2059063,5.86E-06,40.1779183,1.54E-05,47.88097412,1.58E-05,113.7995576
near-term Future,21,1.1.2,ssp370,1.42E-05,16.75124764,1.07E-05,31.65766434,9.65E-06,3.673284931,1.81E-05,12.89599549,1.83E-05,20.28372975
mid-term Future,21,1.1.2,ssp370,1.50E-05,23.58550131,1.18E-05,44.20462218,9.94E-06,6.796900239,2.02E-05,25.89495131,1.84E-05,21.25045695
long-term Future,21,1.1.2,ssp370,1.65E-05,35.6895119,1.41E-05,72.33772275,1.19E-05,27.60814984,1.99E-05,24.48584002,2.02E-05,32.97093308
near-term Future,21,10.1.1,ssp370,2.13E-05,6.80520907,2.42E-05,4.761214066,2.08E-05,9.71603683,1.80E-05,-0.93124462,2.25E-05,15.82548419
mid-term Future,21,10.1.1,ssp370,2.27E-05,13.79604042,2.56E-05,10.83773754,2.32E-05,22.13072756,1.95E-05,7.337450607,2.26E-05,16.29480975
long-term Future,21,10.1.1,ssp370,2.34E-05,17.30159521,2.75E-05,18.93243424,2.04E-05,7.462189408,2.12E-05,16.61681212,2.50E-05,28.89034908
near-term Future,21,10.1.2,ssp370,1.04E-05,4.459600896,1.50E-05,6.393352174,1.16E-05,4.209252104,4.73E-06,-7.82952397,1.04E-05,10.42120555
mid-term Future,21,10.1.2,ssp370,1.10E-05,10.41446179,1.62E-05,15.51568717,1.18E-05,6.37638601,5.61E-06,9.285786708,1.03E-05,9.607006192
long-term Future,21,10.1.2,ssp370,1.10E-05,10.53998992,1.62E-05,15.27166665,1.06E-05,-4.79197618,4.99E-06,-2.883550646,1.23E-05,30.4651093
near-term Future,21,10.1.3,ssp370,1.08E-05,13.19323778,1.46E-05,16.64130895,1.26E-05,11.95186351,6.05E-06,-7.300884575,9.98E-06,25.46334372
mid-term Future,21,10.1.3,ssp370,1.15E-05,20.77255845,1.65E-05,32.2412367,1.19E-05,6.181865591,8.05E-06,23.35297061,9.64E-06,21.22185116
long-term Future,21,10.1.3,ssp370,1.27E-05,32.88146853,1.89E-05,51.34307005,1.26E-05,12.44415594,9.11E-06,39.6888717,1.04E-05,30.46717672
near-term Future,21,10.1.4,ssp370,1.08E-05,14.80986625,8.28E-06,24.89767623,1.50E-05,20.68636995,9.97E-06,4.471017985,1.00E-05,10.19444023
mid-term Future,21,10.1.4,ssp370,1.08E-05,14.17050213,8.92E-06,34.53678211,1.44E-05,16.42177868,1.07E-05,12.48482977,8.83E-06,-2.789151399
long-term Future,21,10.1.4,ssp370,1.22E-05,29.63682413,1.05E-05,58.64721499,1.60E-05,29.13302613,1.22E-05,28.23383554,1.03E-05,12.88301311
near-term Future,21,10.1.5,ssp370,1.08E-05,18.55197549,1.48E-05,27.52873658,1.17E-05,10.07559493,5.85E-06,2.082074202,1.06E-05,24.68339906
mid-term Future,21,10.1.5,ssp370,1.08E-05,19.10995543,1.60E-05,37.78769244,1.04E-05,-1.665381782,7.80E-06,36.1206821,9.10E-06,7.333065426
long-term Future,21,10.1.5,ssp370,1.25E-05,37.25742102,2.01E-05,72.67025766,1.25E-05,18.01080932,8.47E-06,47.82229317,9.24E-06,9.033410106
near-term Future,21,10.1.6,ssp370,1.13E-05,21.70857042,1.22E-05,33.86959117,1.00E-05,13.61920488,1.02E-05,21.784227,1.28E-05,16.96450521
mid-term Future,21,10.1.6,ssp370,1.01E-05,8.073153347,1.26E-05,38.64224142,8.46E-06,-3.932527635,8.70E-06,3.689017133,1.04E-05,-5.564921535
long-term Future,21,10.1.6,ssp370,1.26E-05,35.46532989,1.60E-05,75.59954907,1.08E-05,23.07431007,9.94E-06,18.50818355,1.40E-05,27.61296095
near-term Future,21,10.1.7,ssp370,1.12E-05,18.40175539,9.38E-06,18.56955233,6.54E-06,1.579613887,1.63E-05,29.28270024,1.25E-05,13.95420693
mid-term Future,21,10.1.7,ssp370,8.78E-06,-7.264802605,9.55E-06,20.73125346,5.62E-06,-12.66085687,1.11E-05,-11.438777,8.89E-06,-18.965001
long-term Future,21,10.1.7,ssp370,1.13E-05,19.39700097,1.08E-05,36.3289532,7.00E-06,8.699646883,1.54E-05,22.5879065,1.21E-05,9.850884285
near-term Future,21,10.1.8,ssp370,1.20E-05,11.38384491,1.58E-05,13.04385082,1.46E-05,16.47426643,6.53E-06,-11.0164937,1.11E-05,20.51825752
mid-term Future,21,10.1.8,ssp370,1.25E-05,16.33288115,1.78E-05,26.79084496,1.39E-05,11.22363323,8.06E-06,9.775973006,1.05E-05,14.19064132
long-term Future,21,10.1.8,ssp370,1.37E-05,26.80980265,1.98E-05,41.4373782,1.37E-05,9.567019059,9.09E-06,23.91401485,1.23E-05,33.62116352
near-term Future,21,10.2.1,ssp370,8.27E-06,16.66959971,1.53E-05,19.59545457,5.59E-06,-11.4673907,3.82E-06,32.0485125,8.13E-06,25.26865386
mid-term Future,21,10.2.1,ssp370,7.21E-06,1.76572632,1.42E-05,11.14750975,5.59E-06,-11.52375833,3.59E-06,24.14090531,5.62E-06,-13.34202422
long-term Future,21,10.2.1,ssp370,8.63E-06,21.76088542,1.92E-05,50.42234871,6.08E-06,-3.727099109,3.54E-06,22.31984635,5.92E-06,-8.734394145
near-term Future,21,10.2.2,ssp370,7.54E-06,10.15651301,8.39E-06,12.13732121,2.33E-06,-16.33380694,1.12E-05,24.05909646,8.08E-06,-1.849881341
mid-term Future,21,10.2.2,ssp370,5.59E-06,-18.36578399,7.43E-06,-0.684093749,2.76E-06,-0.890217441,5.96E-06,-33.74380958,6.42E-06,-22.09367885
long-term Future,21,10.2.2,ssp370,7.01E-06,2.398754098,8.52E-06,13.81174774,2.99E-06,7.540228972,8.50E-06,-5.592558719,8.07E-06,-1.981894851
near-term Future,21,10.2.3,ssp370,4.79E-06,-1.328712609,5.84E-06,1.364309774,7.71E-07,-20.99964143,4.86E-06,0.009351321,7.70E-06,-3.542062766
mid-term Future,21,10.2.3,ssp370,3.74E-06,-23.02078158,5.01E-06,-13.18282071,8.34E-07,-14.50217147,2.52E-06,-48.10693982,6.76E-06,-15.27534304
long-term Future,21,10.2.3,ssp370,4.05E-06,-16.59958363,5.09E-06,-11.78214628,9.79E-07,0.396894551,2.98E-06,-38.6724445,7.17E-06,-10.19909382
near-term Future,21,10.2.4,ssp370,1.03E-05,2.538165264,4.73E-06,16.40974737,4.86E-06,-8.610918056,1.83E-05,3.366970257,1.34E-05,1.413132639
mid-term Future,21,10.2.4,ssp370,9.38E-06,-7.031279057,3.61E-06,-11.23778119,4.41E-06,-17.11895996,1.56E-05,-11.98478202,1.39E-05,5.173349392
long-term Future,21,10.2.4,ssp370,1.14E-05,13.02520782,3.65E-06,-10.12902589,5.26E-06,-1.026829428,1.98E-05,11.34289869,1.68E-05,27.20793545
near-term Future,21,11.1.1,ssp370,1.86E-05,6.963267922,4.33E-05,9.720806411,1.63E-05,-2.746595461,1.18E-06,-14.84753676,1.35E-05,8.376993603
mid-term Future,21,11.1.1,ssp370,1.87E-05,7.637298107,4.39E-05,11.22769077,1.69E-05,0.483329802,1.49E-06,7.590279686,1.29E-05,4.133869855
long-term Future,21,11.1.1,ssp370,2.10E-05,20.53886056,5.44E-05,37.93213348,1.64E-05,-2.226973143,1.65E-06,19.13743152,1.24E-05,-0.402884558
near-term Future,21,11.1.2,ssp370,1.39E-05,9.054335207,3.22E-05,12.10947955,1.26E-05,-2.474230636,5.21E-07,-19.63794378,1.03E-05,13.33442002
mid-term Future,21,11.1.2,ssp370,1.42E-05,11.80654317,3.36E-05,17.05560338,1.27E-05,-1.654934783,6.49E-07,0.137921412,1.02E-05,12.52079069
long-term Future,21,11.1.2,ssp370,1.58E-05,24.02593642,4.13E-05,44.15449142,1.26E-05,-2.261982481,7.62E-07,17.57116781,9.43E-06,3.664389753
near-term Future,21,11.1.3,ssp370,1.65E-05,11.55396104,3.82E-05,18.22929464,1.33E-05,-12.99416227,1.74E-06,-4.704235686,1.21E-05,22.48203678
mid-term Future,21,11.1.3,ssp370,1.54E-05,4.190055281,3.52E-05,8.929714472,1.39E-05,-9.097135151,2.38E-06,30.56322022,1.01E-05,1.681305663
long-term Future,21,11.1.3,ssp370,1.75E-05,18.47778708,4.65E-05,43.76126437,1.36E-05,-11.42701929,2.28E-06,25.15476899,8.39E-06,-15.42073783
near-term Future,21,12.1.1,ssp370,1.52E-05,16.41764939,1.13E-05,5.088965861,3.54E-06,-14.36508345,3.11E-05,34.70883891,1.45E-05,1.300622652
mid-term Future,21,12.1.1,ssp370,1.08E-05,-17.52456576,1.00E-05,-7.387934395,4.39E-06,6.208987157,1.72E-05,-25.41022703,1.17E-05,-18.10476682
long-term Future,21,12.1.1,ssp370,1.34E-05,2.850433625,1.14E-05,5.597032177,4.73E-06,14.35391913,2.34E-05,1.620477625,1.40E-05,-2.053228506
near-term Future,21,12.1.2,ssp370,1.40E-05,5.316896737,3.93E-06,22.60547858,3.29E-06,-3.682774877,3.25E-05,4.940116339,1.63E-05,4.427072428
mid-term Future,21,12.1.2,ssp370,1.24E-05,-6.931824982,2.65E-06,-17.29406706,3.65E-06,6.70704661,2.65E-05,-14.43809409,1.68E-05,7.141542435
long-term Future,21,12.1.2,ssp370,1.44E-05,8.10470432,2.91E-06,-9.331265745,3.61E-06,5.550756705,3.07E-05,-0.89679765,2.03E-05,29.8160747
near-term Future,21,12.2.1,ssp370,2.10E-05,-0.113526359,2.59E-06,-8.806442009,6.59E-06,-9.398276703,5.17E-05,3.218840132,2.28E-05,-3.28647236
mid-term Future,21,12.2.1,ssp370,2.04E-05,-3.057488054,1.99E-06,-29.96577762,6.75E-06,-7.306590443,4.70E-05,-6.161994206,2.55E-05,8.178793299
long-term Future,21,12.2.1,ssp370,1.94E-05,-7.862906903,1.85E-06,-34.84468275,6.33E-06,-13.00203371,4.07E-05,-18.61903593,2.83E-05,19.77458937
near-term Future,21,13.1.1,ssp370,1.49E-05,16.27606601,1.29E-05,13.79348769,6.58E-06,-6.528969533,2.40E-05,31.35001554,1.60E-05,8.04342199
mid-term Future,21,13.1.1,ssp370,1.13E-05,-12.12014109,1.26E-05,11.64116538,6.23E-06,-11.5891473,1.46E-05,-19.94544852,1.19E-05,-19.83297018
long-term Future,21,13.1.1,ssp370,1.48E-05,15.07205516,1.38E-05,22.10208054,7.67E-06,8.86242364,2.24E-05,22.57889988,1.52E-05,2.574582034
