Year,City,Scenario,TRCmax,TRCmax_min,TRCmax_min_model,TRCmax_max,TRCmax_max_model,TRCmaxmin,TRCmaxmin_min,TRCmaxmin_min_model,TRCmaxmin_max,TRCmaxmin_max_model
2001,Austin,historical,0.7820512820512823,0.0,EC-Earth3,1.3461538461538465,ACCESS-CM2,18.91025641025641,13.615384615384617,EC-Earth3,22.153846153846157,CNRM-ESM2-1
2002,Austin,historical,0.6666666666666666,0.0,ACCESS-CM2,2.0,EC-Earth3,17.089743589743588,10.73076923076923,ACCESS-CM2,27.0,EC-Earth3
2003,Austin,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,16.05128205128205,10.576923076923077,CNRM-ESM2-1,19.346153846153847,EC-Earth3
2004,Austin,historical,0.3333333333333333,0.0,ACCESS-CM2,1.0,EC-Earth3,16.653846153846153,10.423076923076923,ACCESS-CM2,25.807692307692307,EC-Earth3
2005,Austin,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,13.576923076923078,7.961538461538462,CNRM-ESM2-1,17.076923076923077,ACCESS-CM2
2006,Austin,historical,0.9358974358974358,0.0,EC-Earth3,1.7692307692307692,ACCESS-CM2,15.487179487179487,9.961538461538462,EC-Earth3,25.884615384615383,ACCESS-CM2
2007,Austin,historical,0.23076923076923075,0.0,ACCESS-CM2,0.6923076923076923,EC-Earth3,15.666666666666666,2.5384615384615383,CNRM-ESM2-1,35.38461538461539,EC-Earth3
2008,Austin,historical,0.051282051282051266,0.0,CNRM-ESM2-1,0.1538461538461538,ACCESS-CM2,17.423076923076923,9.576923076923077,CNRM-ESM2-1,25.5,EC-Earth3
2009,Austin,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,14.102564102564102,10.576923076923077,CNRM-ESM2-1,20.57692307692308,EC-Earth3
2010,Austin,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,9.397435897435898,6.230769230769231,ACCESS-CM2,12.807692307692308,CNRM-ESM2-1
2011,Austin,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,12.85897435897436,5.576923076923077,EC-Earth3,16.692307692307693,ACCESS-CM2
2012,Austin,historical,0.6538461538461539,0.0,CNRM-ESM2-1,1.0384615384615383,ACCESS-CM2,18.589743589743588,11.23076923076923,CNRM-ESM2-1,24.23076923076923,EC-Earth3
2013,Austin,historical,0.358974358974359,0.0,ACCESS-CM2,0.9615384615384616,CNRM-ESM2-1,17.346153846153847,12.115384615384617,ACCESS-CM2,20.46153846153846,CNRM-ESM2-1
2014,Austin,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,8.512820512820513,6.153846153846154,EC-Earth3,12.807692307692308,CNRM-ESM2-1
1951,Baltimore,historical,5.933333333333334,4.15,CNRM-ESM2-1,7.7,EC-Earth3,43.849999999999994,40.15,ACCESS-CM2,49.05,CNRM-ESM2-1
1952,Baltimore,historical,6.833333333333333,5.8,ACCESS-CM2,8.3,EC-Earth3,46.75,31.8,ACCESS-CM2,60.25,CNRM-ESM2-1
1953,Baltimore,historical,7.466666666666666,5.95,ACCESS-CM2,9.3,CNRM-ESM2-1,40.66666666666667,36.2,EC-Earth3,46.2,CNRM-ESM2-1
1954,Baltimore,historical,6.933333333333334,6.25,CNRM-ESM2-1,8.3,ACCESS-CM2,46.85,44.05,CNRM-ESM2-1,51.65,EC-Earth3
1955,Baltimore,historical,7.05,5.6,EC-Earth3,9.6,CNRM-ESM2-1,49.71666666666666,46.25,CNRM-ESM2-1,54.6,ACCESS-CM2
1956,Baltimore,historical,7.966666666666668,4.4,CNRM-ESM2-1,12.8,EC-Earth3,50.666666666666664,43.8,EC-Earth3,59.0,CNRM-ESM2-1
1957,Baltimore,historical,7.45,6.4,CNRM-ESM2-1,8.6,ACCESS-CM2,48.20000000000001,39.35,ACCESS-CM2,57.8,EC-Earth3
1958,Baltimore,historical,6.983333333333333,4.8,ACCESS-CM2,8.35,CNRM-ESM2-1,57.416666666666664,54.8,ACCESS-CM2,60.6,CNRM-ESM2-1
