Year,Model,Ecoregion,Scenario,WarmSpell3,WarmSpell3_min,WarmSpell3_max
2014,1,10.1.6,historical,3.778761062,0,7
1951,1,10.1.7,historical,5.473029046,1,9
1952,1,10.1.7,historical,5.497925311,2,9
1953,1,10.1.7,historical,4.236514523,0,10
1954,1,10.1.7,historical,5.970954357,1,9
1955,1,10.1.7,historical,5.493775934,1,10
1956,1,10.1.7,historical,3.89626556,1,6
1957,1,10.1.7,historical,5.360995851,1,10
1958,1,10.1.7,historical,4.626556017,1,8
1959,1,10.1.7,historical,4.842323651,0,8
1960,1,10.1.7,historical,5.008298755,1,9
1961,1,10.1.7,historical,5.360995851,2,8
1962,1,10.1.7,historical,4.680497925,1,9
1963,1,10.1.7,historical,6.153526971,0,11
1964,1,10.1.7,historical,5.228215768,1,10
1965,1,10.1.7,historical,4.800829876,2,7
1966,1,10.1.7,historical,5.369294606,1,9
1967,1,10.1.7,historical,5.829875519,0,9
1968,1,10.1.7,historical,5.414937759,0,8
1969,1,10.1.7,historical,4.630705394,2,7
1970,1,10.1.7,historical,3.618257261,0,8
